gts 0.7.6.121130-2
guile 2.2.7-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gzip 1.11-1
harfbuzz 3.0.0-1
harfbuzz-icu 3.0.0-1
haskell-data-default 0.7.1.1-153
haskell-data-default-class 0.1.2.0-22
haskell-data-default-instances-containers 0.0.1-34
haskell-data-default-instances-dlist 0.0.1-166
haskell-data-default-instances-old-locale 0.0.1-34
haskell-dlist 1.0-89
haskell-extensible-exceptions 0.1.1.4-34
haskell-old-locale 1.0.0.7-28
haskell-old-time 1.1.0.3-28
haskell-random 1.2.0-233
haskell-setlocale 1.0.0.10-2
haskell-splitmix 0.1.0.3-119
haskell-utf8-string 1.0.2-43
haskell-x11 1.10-2
haskell-x11-xft 0.3.1-166
haveged 1.9.15-1
help2man 1.48.5-1
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
hplip 1:3.21.8-1
htop 3.1.0-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3-wm 4.19.2-1
i3lock-color-git r888.305da37-1
iana-etc 20210903-1
ibus 1.5.25-3
icu 69.1-1
ijs 0.35-3
imagemagick 7.1.0.8-1
imath 3.1.3-1
imlib2 1.7.4-1
inetutils 2.2-1
intltool 0.51.0-6
iproute2 5.14.0-1
iptables 1:1.8.7-1
iputils 20210722-1
irrlicht 1.8.4-3
iso-codes 4.7.0-1
itstool 1:2.0.6-2
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 16.0.2.u7-1
jq 1.6-4
jre-openjdk 16.0.2.u7-1
jre-openjdk-headless 16.0.2.u7-1
js78 78.14.0-1
json-c 0.15-1
json-glib 1.6.6-1
jsoncpp 1.9.4-1
kactivities 5.86.0-1
kactivities-stats 5.86.0-1
karchive 5.86.0-1
kauth 5.86.0-1
kbd 2.4.0-2
kbookmarks 5.86.0-1
kcmutils 5.86.0-1
kcodecs 5.86.0-1
kcompletion 5.86.0-1
kconfig 5.86.0-1
kconfigwidgets 5.86.0-1
kcoreaddons 5.86.0-1
kcrash 5.86.0-1
kdbusaddons 5.86.0-1
kdeclarative 5.86.0-1
kded 5.86.0-1
kdelibs4support 5.86.0-1
kdesu 5.86.0-1
kdnssd 5.86.0-1
kdsoap 2.0.0-1
